towns,population_size,distance
10,100,2.254693549967024
10,200,2.254693549967024
10,400,2.254693549967024
10,800,2.254693549967024
20,100,3.7634607844056354
20,200,4.279761997636368
20,400,3.9243876432542826
20,800,3.840503060923437
50,100,12.267510722922665
50,200,11.934318019683573
50,400,12.094542135526973
50,800,12.104684059008497
100,100,25.83584239072432
100,200,27.044740947538745
100,400,27.39311555616604
100,800,26.20890856000499
