samples,numpy_MSE,deap_MSE,ppga_MSE
50,301003.0162362078,301003.01623620774,301003.01623620774
100,314806.6417779954,314806.6417779953,314806.6417779953
200,355461.3618103042,355461.36181030405,355461.36181030405
400,353602.3454794492,353602.3454794492,353602.3454794492
800,354629.5475309768,354629.5475309767,354629.5475309767
