classifier,population_size,workers,time,time_std,ptime,ptime_std
MLPClassifier,16000,1,9.426600310811772,0.0296599902999886,8.343514543678612,0.0269837086012985
MLPClassifier,16000,2,6.237897108262405,0.0417286845457667,5.0572901661507785,0.0249208365523887
MLPClassifier,16000,4,3.934156000101938,0.0391618158766698,2.734072715230286,0.0143196185081096
MLPClassifier,16000,8,3.1507980384863914,0.1911966492265863,1.7473640237469226,0.1160291479961744
MLPClassifier,16000,16,2.658971335180104,0.140226325324872,1.200033293897286,0.0671256677723546
MLPClassifier,16000,32,2.7110207808203994,0.1078335792150224,0.941807756666094,0.0442567163781703
RandomForestClassifier,1000,1,16.004213054478168,0.1903419785849865,15.9447072356008,0.1898298766387928
RandomForestClassifier,1000,2,8.636673804977908,0.0882458042925392,8.45109271002002,0.0992040769951469
RandomForestClassifier,1000,4,4.498347504017874,0.0527294575928163,4.299407751532272,0.0499865656540588
RandomForestClassifier,1000,8,2.6104765685275195,0.0413611155322449,2.338609596574679,0.0312129950954003
RandomForestClassifier,1000,16,2.006591420574113,0.0974363077733282,1.5567091344855726,0.0686015001748688
RandomForestClassifier,1000,32,2.113871188042685,0.1475696158106589,1.3061710367910564,0.07664916871317
RandomForestClassifier,2000,1,32.18231372642331,0.2850296817599447,32.062232601083814,0.2829137753121842
RandomForestClassifier,2000,2,17.090143506228923,0.092503615068541,16.845912273973227,0.105810775971475
RandomForestClassifier,2000,4,8.86523048626259,0.0512093052051965,8.56971827079542,0.0414944235339804
RandomForestClassifier,2000,8,4.831226012902334,0.0798525406920249,4.472490477655083,0.0513262990553668
RandomForestClassifier,2000,16,3.101783748343587,0.1253079610567437,2.6313272166531534,0.1013803077166239
RandomForestClassifier,2000,32,3.134535229811445,0.1143632797541479,2.2239568978082387,0.0731405221908808
RandomForestClassifier,4000,1,65.35700454297475,0.428011054471935,65.10291574685834,0.4258328025093199
RandomForestClassifier,4000,2,33.70179229374044,0.1774670091906215,33.40573587282561,0.17493828992981
RandomForestClassifier,4000,4,17.29485874688253,0.2316440110846408,16.916211200272663,0.2216142502422876
RandomForestClassifier,4000,8,9.192749261669814,0.0789606440053742,8.735560197150335,0.0768834749486472
RandomForestClassifier,4000,16,5.607849658047781,0.2059261356652599,4.951438864786178,0.1738960712415412
RandomForestClassifier,4000,32,4.842046107072383,0.2283184165263866,3.8484659078065295,0.1147920171241051
RandomForestClassifier,8000,1,130.85223216521553,0.5385847336372713,130.31376775880344,0.5273131854979481
RandomForestClassifier,8000,2,66.6568614628166,0.470756032941558,66.07974849338643,0.451372787940825
RandomForestClassifier,8000,4,34.302389663597566,0.2557087421822031,33.68934830161743,0.2549161764109539
RandomForestClassifier,8000,8,17.971353696659207,0.2249897574101839,17.213219390390442,0.1968570380585334
RandomForestClassifier,8000,16,10.130305353179574,0.0817668624660496,9.173001742502674,0.0791378685606557
RandomForestClassifier,8000,32,8.458332986244931,0.2237677678919936,7.1088694396894425,0.1641708455387374
RandomForestClassifier,16000,1,261.1323234513402,1.7082090562840002,259.9973831520416,1.713514099139278
