point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
3,4,0,1,SVC,4000,1,12.171515735499923,0.08928069650013981,0.0003446504999260469,1.3974998864796362e-06
4,4,1,0,SVC,4000,1,12.45521153550007,0.07002517049997437,0.0003587675000176205,7.474999961232243e-07
4,4,1,1,SVC,4000,1,13.433562375500117,0.2137351924998825,0.000381946500056074,1.606950013410824e-05
0,2,1,0,SVC,4000,1,14.14561361899979,0.009803612999860434,0.00039585349981052786,1.6882500119663746e-05
0,2,1,1,SVC,4000,1,13.274429640499989,0.41150500749995444,0.0003709759999992457,7.2439999030393665e-06
1,2,0,0,SVC,4000,1,13.95179039299984,0.26825469600004226,0.0003656959998465936,3.999997488790541e-08
1,2,0,1,SVC,4000,1,14.426165742000137,0.09075785399994629,0.0003686105001747819,6.9005000682409445e-06
2,2,0,0,SVC,4000,1,13.84884535649985,0.1461908005001078,0.0003781744998150316,7.640500143679674e-06
2,2,0,1,SVC,4000,1,14.656808693500068,0.0858699124999589,0.00043403600011515664,1.0529000064707361e-05
3,2,1,0,SVC,4000,1,14.513866050000047,0.05838487200003328,0.0003798430000188091,6.747800000539428e-05
3,2,1,1,SVC,4000,1,13.819473799500088,0.27453030850006144,0.00031352600012723997,3.627900002811657e-05
4,2,0,0,SVC,4000,1,14.03376025600005,0.03614974099991741,0.00033217800000784337,2.57839999449061e-05
4,2,0,1,SVC,4000,1,14.010351820500091,0.09203669749990695,0.0003721740000628415,3.826500005743583e-05
0,32,0,0,SVC,4000,1,13.03580379150003,0.21736776350007858,0.00030590900001925547,2.024300005132318e-05
0,32,0,1,SVC,4000,1,12.09708148850001,0.03512422049976749,0.0003441154999563878,1.1625002116488758e-06
1,32,1,0,SVC,4000,1,11.573427420999963,0.0858662210000034,0.00035327749992575264,2.9820500003552297e-05
1,32,1,1,SVC,4000,1,12.980177990000072,0.04931825399984291,0.0003636950000895922,1.8590000138374307e-05
2,32,0,0,SVC,4000,1,12.973131860999843,0.09576979299993127,0.00035088799990035113,1.2203000039789913e-05
2,32,0,1,SVC,4000,1,12.225335751499927,0.022346543500077587,0.0003344539999261542,3.182400007517572e-05
3,32,1,0,SVC,4000,1,12.184142378000047,0.05783129100007045,0.00033909699999412624,3.667000044060842e-06
