point,features,class,target,classifier,population_size,workers,time,ptime
0,64,1,0,RandomForestClassifier,4000,32,62.72232944399999,10.21
0,64,1,1,RandomForestClassifier,4000,32,64.78349399899868,10.010000000000003
1,64,0,0,RandomForestClassifier,4000,32,65.3792084250015,10.260000000000003
1,64,0,1,RandomForestClassifier,4000,32,65.73847867500088,10.079999999999998
0,64,1,0,RandomForestClassifier,8000,32,149.04950453000072,16.860000000000003
0,64,1,1,RandomForestClassifier,8000,32,132.7786846609995,16.259999999999994
1,64,0,0,RandomForestClassifier,8000,32,161.56263334400006,16.560000000000002
1,64,0,1,RandomForestClassifier,8000,32,133.22875778100104,16.88000000000001
0,64,1,0,RandomForestClassifier,16000,32,297.4396694870008,31.929999999999993
0,64,1,1,RandomForestClassifier,16000,32,390.62226852999754,31.36
1,64,0,0,RandomForestClassifier,16000,32,407.51323602900317,31.559999999999995
1,64,0,1,RandomForestClassifier,16000,32,372.7858545439983,31.72
