point,features,class,target,classifier,population_size,workers,time,ptime
1,64,0,1,SVC,2000,4,10.870210304999746,2.2200000000000006
0,64,1,0,SVC,4000,4,27.362334763999936,4.150000000000001
0,64,1,1,SVC,4000,4,29.973812763999973,4.159999999999998
1,64,0,0,SVC,4000,4,29.326635026000133,4.0600000000000005
1,64,0,1,SVC,4000,4,26.077002424000202,4.16
0,64,1,0,SVC,8000,4,79.37391059999982,7.250000000000002
0,64,1,1,SVC,8000,4,85.5444537119999,7.200000000000001
1,64,0,0,SVC,8000,4,88.37817819199996,7.26
1,64,0,1,SVC,8000,4,70.83997573100005,7.449999999999998
0,64,1,0,SVC,16000,4,273.8581303029999,14.070000000000002
0,64,1,1,SVC,16000,4,344.95491003900014,13.700000000000003
1,64,0,0,SVC,16000,4,337.5387232889998,13.750000000000005
1,64,0,1,SVC,16000,4,237.06711948600014,13.769999999999996
0,64,1,0,SVC,1000,8,5.088307202000615,0.7900000000000003
0,64,1,1,SVC,1000,8,4.948789845999527,0.7800000000000001
1,64,0,0,SVC,1000,8,5.191958045999891,0.7900000000000003
1,64,0,1,SVC,1000,8,5.330151106000231,0.8600000000000002
0,64,1,0,SVC,2000,8,10.765194589999918,1.45
0,64,1,1,SVC,2000,8,11.596971217999672,1.4900000000000002
1,64,0,0,SVC,2000,8,11.30306922899985,1.4400000000000004
1,64,0,1,SVC,2000,8,10.405763094000214,1.3500000000000005
0,64,1,0,SVC,4000,8,27.396498968000014,2.45
0,64,1,1,SVC,4000,8,28.91920855799992,2.37
1,64,0,0,SVC,4000,8,28.553486355999848,2.45
1,64,0,1,SVC,4000,8,25.65491493000034,2.4800000000000013
0,64,1,0,SVC,8000,8,77.85251111899946,4.49
0,64,1,1,SVC,8000,8,80.96381507299975,4.25
1,64,0,0,SVC,8000,8,90.55664491100008,4.42
1,64,0,1,SVC,8000,8,69.95978085000036,4.370000000000001
0,64,1,0,SVC,16000,8,259.9931404779996,7.809999999999998
0,64,1,1,SVC,16000,8,332.5495936309997,7.589999999999997
1,64,0,0,SVC,16000,8,341.0011081659995,7.420000000000002
1,64,0,1,SVC,16000,8,233.0188340240007,7.6000000000000005
0,64,1,0,SVC,1000,16,5.296454703000164,0.56
0,64,1,1,SVC,1000,16,5.277890652999777,0.5200000000000001
1,64,0,0,SVC,1000,16,5.440089766000311,0.5600000000000003
1,64,0,1,SVC,1000,16,5.442038648999732,0.6
0,64,1,0,SVC,2000,16,11.028533267000057,1.0000000000000002
0,64,1,1,SVC,2000,16,10.950210171999862,0.8800000000000003
1,64,0,0,SVC,2000,16,10.759847257000656,0.9200000000000002
1,64,0,1,SVC,2000,16,10.561674111000212,0.9800000000000001
0,64,1,0,SVC,4000,16,27.08128879699947,1.59
0,64,1,1,SVC,4000,16,27.148674811999225,1.5600000000000003
1,64,0,0,SVC,4000,16,27.162513631999644,1.4700000000000006
1,64,0,1,SVC,4000,16,24.573056777999483,1.5300000000000007
0,64,1,0,SVC,8000,16,76.32574644399985,2.520000000000001
0,64,1,1,SVC,8000,16,83.62263737199982,2.6800000000000006
1,64,0,0,SVC,8000,16,86.18182876700037,2.83
1,64,0,1,SVC,8000,16,71.45716103400012,2.7399999999999998
0,64,1,0,SVC,16000,16,256.0308064819999,4.76
0,64,1,1,SVC,16000,16,357.4672765659995,4.679999999999999
1,64,0,0,SVC,16000,16,318.17010137200003,4.68
1,64,0,1,SVC,16000,16,229.9813633229994,4.76
0,64,1,0,SVC,1000,32,6.9252029240002955,0.43000000000000016
0,64,1,1,SVC,1000,32,5.996527957999424,0.4900000000000002
1,64,0,0,SVC,1000,32,6.120291548000678,0.42000000000000026
1,64,0,1,SVC,1000,32,5.783553007999144,0.4200000000000001
0,64,1,0,SVC,2000,32,11.308035572000009,0.6400000000000001
0,64,1,1,SVC,2000,32,11.919238411999249,0.7700000000000005
1,64,0,0,SVC,2000,32,11.501442212999756,0.7100000000000004
1,64,0,1,SVC,2000,32,10.838393059000737,0.7500000000000002
0,64,1,0,SVC,4000,32,26.238074183000283,1.0800000000000003
0,64,1,1,SVC,4000,32,26.340051495000953,1.1600000000000001
1,64,0,0,SVC,4000,32,29.549072884999404,1.11
1,64,0,1,SVC,4000,32,26.0766339740008,1.0600000000000005
0,64,1,0,SVC,8000,32,78.14183325000079,2.12
0,64,1,1,SVC,8000,32,82.04416557500008,1.7500000000000009
1,64,0,0,SVC,8000,32,87.70938609300043,1.8100000000000003
1,64,0,1,SVC,8000,32,71.30719340700081,1.7700000000000005
0,64,1,0,SVC,16000,32,271.6835336510005,2.7800000000000002
0,64,1,1,SVC,16000,32,376.3014795840007,2.8400000000000003
1,64,0,0,SVC,16000,32,375.41709394700075,2.8200000000000003
1,64,0,1,SVC,16000,32,245.72838881800155,2.97
