point,features,class,target,classifier,population_size,workers,time,ptime
0,64,1,0,SVC,4000,16,2.806438801999971,1.0900000000000003
0,64,1,1,SVC,4000,16,3.1898973609999124,1.1300000000000003
1,64,0,0,SVC,4000,16,3.1097725139999426,1.1400000000000003
1,64,0,1,SVC,4000,16,2.663968089999935,1.1500000000000004
0,64,1,0,SVC,8000,16,5.965274777999925,2.19
0,64,1,1,SVC,8000,16,5.6638978509999784,2.1
1,64,0,0,SVC,8000,16,5.402856402999956,2.0900000000000007
1,64,0,1,SVC,8000,16,5.097009073000013,1.9100000000000004
0,64,1,0,SVC,16000,16,10.850928602000053,4.11
0,64,1,1,SVC,16000,16,10.534618310000004,3.9599999999999995
1,64,0,0,SVC,16000,16,10.489998648000023,3.9200000000000004
1,64,0,1,SVC,16000,16,9.041235115999928,3.9899999999999993
0,64,1,0,SVC,1000,32,1.6703483289999441,0.40000000000000013
0,64,1,1,SVC,1000,32,1.6229755259999914,0.3600000000000002
1,64,0,0,SVC,1000,32,1.6719319420000376,0.4000000000000002
1,64,0,1,SVC,1000,32,1.5901533560000556,0.3400000000000002
0,64,1,0,SVC,2000,32,2.1743062969999487,0.5200000000000002
0,64,1,1,SVC,2000,32,2.325684094000003,0.5700000000000001
1,64,0,0,SVC,2000,32,2.217839383999972,0.5300000000000001
1,64,0,1,SVC,2000,32,2.0721978109999193,0.5100000000000002
0,64,1,0,SVC,4000,32,3.1419138700000167,0.7100000000000002
0,64,1,1,SVC,4000,32,3.2990809730000414,0.7300000000000002
1,64,0,0,SVC,4000,32,3.3306077740000735,0.7200000000000004
1,64,0,1,SVC,4000,32,3.027160940000063,0.7700000000000002
0,64,1,0,SVC,8000,32,5.092238470000002,1.27
0,64,1,1,SVC,8000,32,5.422511159999958,1.3300000000000005
1,64,0,0,SVC,8000,32,5.764498481999963,1.3100000000000005
1,64,0,1,SVC,8000,32,4.958245980000025,1.2600000000000007
0,64,1,0,SVC,16000,32,10.209935894000006,2.430000000000001
0,64,1,1,SVC,16000,32,10.725973115999992,2.6400000000000015
1,64,0,0,SVC,16000,32,9.872087739999998,2.3900000000000015
1,64,0,1,SVC,16000,32,9.270269242000033,2.490000000000001
