point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
1,2,0,0,RandomForestClassifier,4000,1,248.50866076400007,3.6104410789998838,124.08303478900007,1.80511157599949
1,2,0,1,RandomForestClassifier,4000,1,240.6731434294993,1.7952049455002452,120.1807682564995,0.8986184755003706
2,2,0,0,RandomForestClassifier,4000,1,247.61085314350066,0.13596199449830237,123.63456439950096,0.06784936749863846
2,2,0,1,RandomForestClassifier,4000,1,245.17594618900102,1.9948371369996494,122.42710572650094,0.9974150064995229
3,2,1,0,RandomForestClassifier,4000,1,253.57535625299943,1.939353182001014,126.62315965199923,0.9702742250010488
3,2,1,1,RandomForestClassifier,4000,1,246.53994190049934,1.534687126499648,123.08657648099916,0.7810026869997273
4,2,0,0,RandomForestClassifier,4000,1,251.43554364450074,6.757962318499722,125.5462592770009,3.379815960000087
4,2,0,1,RandomForestClassifier,4000,1,239.05475623400116,0.5089139569986401,119.3611960975013,0.2546003444986127
0,32,0,0,RandomForestClassifier,4000,1,237.80568285799882,0.6746885980005572,118.65124309599878,0.3363477130001229
0,32,0,1,RandomForestClassifier,4000,1,236.97536570850116,0.7051413145009064,118.28066308650114,0.35183971350079446
1,32,1,0,RandomForestClassifier,4000,1,236.42333833550174,0.5684586235006464,117.9933441630019,0.27134706400102004
1,32,1,1,RandomForestClassifier,4000,1,236.8467273855008,0.8158785164991968,118.17652705650062,0.40822045749928293
2,32,0,0,RandomForestClassifier,4000,1,235.57402133599862,0.4643364780004049,117.53758504899906,0.23176663600042957
2,32,0,1,RandomForestClassifier,4000,1,237.60559283750263,0.21280881050006428,118.57688959650295,0.09295718050088908
3,32,1,0,RandomForestClassifier,4000,1,236.43940536299942,0.2807128440026645,118.00457828349863,0.13980727450325503
3,32,1,1,RandomForestClassifier,4000,1,238.18603005800014,0.8119481759995324,118.84447481999996,0.40581553999982134
4,32,0,0,RandomForestClassifier,4000,1,238.80464686699997,0.29132724000191956,119.13909090449943,0.1316405735024091
4,32,0,1,RandomForestClassifier,4000,1,236.51998371699847,1.3296496759994625,118.0393157694989,0.6637859645006756
0,16,1,0,RandomForestClassifier,4000,1,238.07493885599888,0.6573862919967723,118.84795716699864,0.3294562569963091
0,16,1,1,RandomForestClassifier,4000,1,238.63900063099845,1.497026375999667,119.11100185649775,0.7480953894992126
1,16,1,0,RandomForestClassifier,4000,1,235.20909844749895,1.0592704335022063,117.41632119599944,0.5290369490021476
1,16,1,1,RandomForestClassifier,4000,1,236.21793113350304,0.7222464705000675,117.90233642450221,0.3615826474997448
2,16,0,0,RandomForestClassifier,4000,1,238.2149001825028,0.19436594950184372,118.88497768500201,0.0825974440012942
2,16,0,1,RandomForestClassifier,4000,1,236.78145493849934,1.0060451394992924,118.20606126499933,0.5021364659996834
3,16,1,0,RandomForestClassifier,4000,1,236.7732343485004,0.1909585435041663,118.18842130650046,0.09429600050316367
3,16,1,1,RandomForestClassifier,4000,1,244.50101214299866,0.5514373139994859,122.0302617744992,0.26161264249913074
4,16,1,0,RandomForestClassifier,4000,1,238.9008155704978,0.763560586501626,119.25562062549852,0.3812465325017911
4,16,1,1,RandomForestClassifier,4000,1,240.06287283349957,1.540086559502015,119.8245137544991,0.7700421375020596
0,8,1,0,RandomForestClassifier,4000,1,240.25476038299712,0.5386426449986175,119.93320763099746,0.25512541299849545
0,8,1,1,RandomForestClassifier,4000,1,242.42139584149754,1.8329287045007732,121.0249777964973,0.9162519285009694
1,8,1,0,RandomForestClassifier,4000,1,237.7937664839992,1.2733541119960137,118.72129981249964,0.636141957496875
1,8,1,1,RandomForestClassifier,4000,1,241.87116331900052,0.07037978199969075,120.7492886480004,0.03474653200009925
2,8,1,0,RandomForestClassifier,4000,1,245.98906788149907,0.44706217749808275,122.81699247649976,0.22390639349850971
2,8,1,1,RandomForestClassifier,4000,1,245.04491082599907,0.2350073599982352,122.33594216599977,0.11751997499868594
3,8,0,0,RandomForestClassifier,4000,1,242.75645812999483,1.9102816680015167,121.19227458349451,0.9557825105021038
3,8,0,1,RandomForestClassifier,4000,1,239.06254672150044,0.48477056049978273,119.35674537549949,0.24148008249994746
4,8,0,0,RandomForestClassifier,4000,1,240.69675852550336,3.079661941498671,120.16384074450252,1.5374349964986322
4,8,0,1,RandomForestClassifier,4000,1,246.6021589894981,2.868495111501943,123.12653788799798,1.4340015290017618
0,64,0,0,RandomForestClassifier,4000,2,62.254223403999234,0.42013078299936524,60.522499999999994,0.5024999999999977
0,64,0,1,RandomForestClassifier,4000,2,61.745539777500014,0.22525482849981415,60.05,0.23999999999999488
1,64,0,0,RandomForestClassifier,4000,2,61.608755515999654,1.2022576190001573,59.9625,1.1475000000000009
1,64,0,1,RandomForestClassifier,4000,2,61.29464672249873,0.02745073850011437,59.565000000000005,0.0449999999999946
2,64,0,0,RandomForestClassifier,4000,2,61.479384590000265,0.34612462600017224,59.795,0.3000000000000078
2,64,0,1,RandomForestClassifier,4000,2,61.688634832499375,0.2740698505000232,60.2025,0.287500000000005
3,64,0,0,RandomForestClassifier,4000,2,61.169802913000126,0.762756154999849,59.567499999999995,0.47750000000000625
3,64,0,1,RandomForestClassifier,4000,2,62.2180575540002,0.04538539599984048,60.78750000000001,0.1025000000000027
4,64,1,0,RandomForestClassifier,4000,2,62.020108193000084,0.2055186500002577,60.5975,0.18249999999999034
4,64,1,1,RandomForestClassifier,4000,2,61.35384179200045,0.5382998969999591,59.787499999999994,0.5174999999999983
0,4,0,0,RandomForestClassifier,4000,2,60.21233878199982,0.524726500000142,59.349999999999994,0.48499999999999943
0,4,0,1,RandomForestClassifier,4000,2,59.67569265649956,0.008370570499138807,58.87,0.045000000000001705
1,4,1,0,RandomForestClassifier,4000,2,60.13929102749971,0.33807250449950743,59.3625,0.3725000000000023
1,4,1,1,RandomForestClassifier,4000,2,60.16770296700019,0.7061420999996031,59.3025,0.657500000000006
2,4,1,0,RandomForestClassifier,4000,2,60.56089358250024,0.21368785349932296,59.709999999999994,0.25
2,4,1,1,RandomForestClassifier,4000,2,60.378525618498934,0.26084256250022264,59.555,0.25500000000000256
3,4,0,0,RandomForestClassifier,4000,2,60.47298172000018,0.16809684500090682,59.61750000000001,0.1474999999999973
3,4,0,1,RandomForestClassifier,4000,2,60.66400323399958,0.5976595629986328,59.837500000000006,0.5824999999999996
4,4,1,0,RandomForestClassifier,4000,2,60.3665025624993,0.31167212649990716,59.555,0.3200000000000003
4,4,1,1,RandomForestClassifier,4000,2,60.20410479949987,0.5110084434991933,59.375,0.4549999999999983
0,2,1,0,RandomForestClassifier,4000,2,61.39500972750011,1.3545717694989037,60.4375,1.3474999999999966
0,2,1,1,RandomForestClassifier,4000,2,59.55311381500047,0.18517890600021758,58.7475,0.1424999999999983
1,2,0,0,RandomForestClassifier,4000,2,60.08124223499974,0.18385091699943956,59.157500000000006,0.2225000000000037
1,2,0,1,RandomForestClassifier,4000,2,60.240838141999696,0.2545608690004144,59.38999999999999,0.21999999999999886
2,2,0,0,RandomForestClassifier,4000,2,60.145352109000484,0.1302183549997089,59.2375,0.1025000000000027
2,2,0,1,RandomForestClassifier,4000,2,59.53834455350057,0.28069350650024916,58.6975,0.302500000000002
3,2,1,0,RandomForestClassifier,4000,2,60.634606125499744,0.6637601184990132,59.7775,0.7025000000000006
3,2,1,1,RandomForestClassifier,4000,2,59.80318824749956,0.4427170814993566,58.925,0.47499999999999787
4,2,0,0,RandomForestClassifier,4000,2,60.19747221900019,0.6281598100005787,59.3775,0.6374999999999993
4,2,0,1,RandomForestClassifier,4000,2,61.00546602849918,0.1625865514995226,60.1625,0.15750000000000597
0,32,0,0,RandomForestClassifier,4000,2,61.08822277250066,0.38379968750028937,59.99499999999999,0.360000000000003
0,32,0,1,RandomForestClassifier,4000,2,59.857699716499766,0.32751574650006887,58.92999999999999,0.3100000000000023
1,32,1,0,RandomForestClassifier,4000,2,60.7828740325005,0.6623222985003316,59.76249999999999,0.6275000000000013
1,32,1,1,RandomForestClassifier,4000,2,60.44390706250003,0.006582063501010538,59.42999999999999,0.004999999999999005
2,32,0,0,RandomForestClassifier,4000,2,60.93963178099999,0.09356217800029043,59.9225,0.04750000000000654
2,32,0,1,RandomForestClassifier,4000,2,60.438033850499664,0.08405080950116783,59.442499999999995,0.08249999999999957
3,32,1,0,RandomForestClassifier,4000,2,60.571051697500195,0.5167492035006198,59.55500000000001,0.5449999999999982
3,32,1,1,RandomForestClassifier,4000,2,60.19731778050013,0.09719765649908041,59.1525,0.13249999999999673
4,32,0,0,RandomForestClassifier,4000,2,61.2081658165004,0.27277971350064334,60.17999999999999,0.23500000000000298
4,32,0,1,RandomForestClassifier,4000,2,60.61447286600058,0.09003439100000676,59.605000000000004,0.11499999999999844
0,16,1,0,RandomForestClassifier,4000,2,60.356655249000575,0.512232585000568,59.48,0.5050000000000026
0,16,1,1,RandomForestClassifier,4000,2,59.788187595499664,0.145399812499857,58.86750000000001,0.1025000000000027
1,16,1,0,RandomForestClassifier,4000,2,59.98434122649986,0.4938735124998104,59.13,0.49499999999999744
1,16,1,1,RandomForestClassifier,4000,2,60.536089205999914,0.3425261089999232,59.68249999999999,0.3425000000000047
2,16,0,0,RandomForestClassifier,4000,2,59.79613244099964,0.15734067599966295,58.925,0.13500000000000512
2,16,0,1,RandomForestClassifier,4000,2,60.29589290450062,0.14944923650076802,59.4025,0.15249999999999986
3,16,1,0,RandomForestClassifier,4000,2,61.23600217250056,1.3048146654991832,60.322500000000005,1.3125000000000036
3,16,1,1,RandomForestClassifier,4000,2,60.65475809700056,0.5362337360003195,59.725,0.49499999999999744
4,16,1,0,RandomForestClassifier,4000,2,60.83418088649985,0.8276801534997134,59.955,0.8599999999999994
4,16,1,1,RandomForestClassifier,4000,2,59.96971262600062,0.1630226910008119,59.0675,0.15750000000000597
0,8,1,0,RandomForestClassifier,4000,2,60.44018132850011,0.002846484499961832,59.51,7.105427357601002e-15
0,8,1,1,RandomForestClassifier,4000,2,60.27854417199981,0.05146743500030837,59.35249999999999,0.07750000000000412
1,8,1,0,RandomForestClassifier,4000,2,61.103397845500005,0.7862874135011211,60.24,0.7749999999999986
1,8,1,1,RandomForestClassifier,4000,2,60.16595023049977,0.21357792749989102,59.2875,0.2524999999999906
2,8,1,0,RandomForestClassifier,4000,2,60.16709607199959,0.41812201500022894,59.1775,0.31750000000000256
2,8,1,1,RandomForestClassifier,4000,2,60.194250528499246,0.43159902249986715,59.372499999999995,0.42249999999999943
3,8,0,0,RandomForestClassifier,4000,2,61.22470860250064,0.05417961450035946,60.38499999999999,0.060000000000005826
3,8,0,1,RandomForestClassifier,4000,2,60.202163722499535,0.3041295774999888,59.345,0.33999999999999986
4,8,0,0,RandomForestClassifier,4000,2,60.59083252949928,0.2667728214994334,59.760000000000005,0.23999999999999844
4,8,0,1,RandomForestClassifier,4000,2,60.27801042050116,0.06984116150051989,59.42,0.07500000000000284
0,64,1,0,RandomForestClassifier,4000,4,31.859328383998907,0.09091514600037165,29.978749999999998,0.04624999999999879
0,64,1,1,RandomForestClassifier,4000,4,32.28452853200011,0.2734064320004137,30.06625,0.23125000000000284
1,64,1,0,RandomForestClassifier,4000,4,31.835918352500123,0.2200981714999557,29.865000000000002,0.0024999999999977263
1,64,1,1,RandomForestClassifier,4000,4,32.078714828999836,0.1063366170000144,29.93875,0.09875000000000078
2,64,0,0,RandomForestClassifier,4000,4,32.249535683500284,0.22065300050104142,30.19375,0.1537500000000005
2,64,0,1,RandomForestClassifier,4000,4,31.871447870000306,0.16777251399897253,29.80375,0.013749999999999929
3,64,1,0,RandomForestClassifier,4000,4,31.978537115999828,0.14148326900151176,29.918750000000003,0.13874999999999993
3,64,1,1,RandomForestClassifier,4000,4,31.798983192999952,0.3100757110003194,29.852500000000003,0.26000000000000156
4,64,1,0,RandomForestClassifier,4000,4,32.05979675750008,0.14114367350004287,29.983749999999997,0.03874999999999673
4,64,1,1,RandomForestClassifier,4000,4,31.83244634249921,0.3590490715000829,29.980000000000004,0.08249999999999957
0,4,0,0,RandomForestClassifier,4000,4,31.253910707500218,0.117498787499974,30.0075,0.05000000000000249
0,4,0,1,RandomForestClassifier,4000,4,30.9118867055004,0.12435600050022977,29.665,0.09500000000000064
1,4,1,0,RandomForestClassifier,4000,4,30.7646261954998,0.004314699499955665,29.597499999999997,0.0649999999999995
1,4,1,1,RandomForestClassifier,4000,4,31.178788409000703,0.09617269699963948,29.996250000000003,0.3362500000000015
2,4,1,0,RandomForestClassifier,4000,4,31.198737523500206,0.22892778050056073,29.723750000000003,0.10124999999999851
2,4,1,1,RandomForestClassifier,4000,4,30.67654691449956,0.1342699804995231,29.521250000000002,0.1987500000000022
3,4,0,0,RandomForestClassifier,4000,4,30.80110639549981,0.03475054749971562,29.5725,0.019999999999999574
3,4,0,1,RandomForestClassifier,4000,4,30.981241851000412,0.051815269001270536,29.7125,0.05249999999999844
4,4,1,0,RandomForestClassifier,4000,4,30.930415361999405,0.23137067700023195,29.8225,0.22250000000000014
4,4,1,1,RandomForestClassifier,4000,4,30.95997356149943,0.43909014749973885,29.660000000000004,0.40250000000000163
0,2,1,0,RandomForestClassifier,4000,4,31.20738562550054,0.24120272450032942,29.84625,0.266250000000003
0,2,1,1,RandomForestClassifier,4000,4,31.53319215200023,0.054288538999571756,30.12875,0.15625
1,2,0,0,RandomForestClassifier,4000,4,31.448535940999975,0.20240985899970634,29.82625,0.21124999999999794
1,2,0,1,RandomForestClassifier,4000,4,31.00845267500019,0.00843826699954775,29.645,0.03249999999999886
2,2,0,0,RandomForestClassifier,4000,4,31.113226508499828,0.012290636500001284,29.82125,0.011250000000000426
2,2,0,1,RandomForestClassifier,4000,4,30.96999788799996,0.1061353209996394,29.682499999999997,0.027500000000001634
3,2,1,0,RandomForestClassifier,4000,4,31.349181427000257,0.1822166549997597,30.0125,0.11750000000000327
3,2,1,1,RandomForestClassifier,4000,4,31.03904739849993,0.01279684250006774,29.73625,0.016249999999997655
