point,features,class,target,classifier,population_size,workers,time,ptime
1,64,1,0,RandomForestClassifier,16000,2,380.63916201889515,375.86384825687855
1,64,1,1,RandomForestClassifier,16000,2,382.73876504506916,378.0091281682253
0,64,0,0,RandomForestClassifier,1000,4,13.63219301123172,12.977647140622139
0,64,0,1,RandomForestClassifier,1000,4,13.730770678259432,13.111458455212414
1,64,1,0,RandomForestClassifier,1000,4,13.567150592803955,12.906125387176871
1,64,1,1,RandomForestClassifier,1000,4,13.459674744866788,12.83545252494514
0,64,0,0,RandomForestClassifier,2000,4,25.812518648803234,24.814842210151255
0,64,0,1,RandomForestClassifier,2000,4,25.874778141267598,24.9283878095448
1,64,1,0,RandomForestClassifier,2000,4,25.490462572313845,24.6245836885646
1,64,1,1,RandomForestClassifier,2000,4,25.128052074462175,24.352807480841875
0,64,0,0,RandomForestClassifier,4000,4,50.15253930259496,48.67829180229455
0,64,0,1,RandomForestClassifier,4000,4,49.31634175404906,47.94129865150899
1,64,1,0,RandomForestClassifier,4000,4,49.65763240586966,48.30385424569249
1,64,1,1,RandomForestClassifier,4000,4,50.237645777873695,48.85180653911084
0,64,0,0,RandomForestClassifier,8000,4,100.8377108424902,98.32108510658145
0,64,0,1,RandomForestClassifier,8000,4,98.0646793982014,95.56370425410569
1,64,1,0,RandomForestClassifier,8000,4,98.47375728748739,95.95745493005961
1,64,1,1,RandomForestClassifier,8000,4,97.79214396700263,95.32995874900371
0,64,0,0,RandomForestClassifier,16000,4,193.45998698100448,188.7022731108591
0,64,0,1,RandomForestClassifier,16000,4,194.60085124522448,189.7310999892652
1,64,1,0,RandomForestClassifier,16000,4,194.8207343844697,189.95376308262348
1,64,1,1,RandomForestClassifier,16000,4,193.78289045672864,188.926349950023
0,64,0,0,RandomForestClassifier,1000,8,8.448465225286782,7.695517456158996
0,64,0,1,RandomForestClassifier,1000,8,8.5278041344136,7.771761738695204
1,64,1,0,RandomForestClassifier,1000,8,8.381068680435419,7.71734669432044
1,64,1,1,RandomForestClassifier,1000,8,8.469448819756508,7.729515491053462
0,64,0,0,RandomForestClassifier,2000,8,14.69782771077007,13.684755264781415
0,64,0,1,RandomForestClassifier,2000,8,14.788681766018271,13.767555989325047
1,64,1,0,RandomForestClassifier,2000,8,14.926693732850254,13.83953865710646
1,64,1,1,RandomForestClassifier,2000,8,15.03450521081686,13.868902441114187
0,64,0,0,RandomForestClassifier,4000,8,27.673136067576706,25.9673682898283
0,64,0,1,RandomForestClassifier,4000,8,27.23964523244649,25.657530762255192
1,64,1,0,RandomForestClassifier,4000,8,27.562825493514538,25.99533199518919
1,64,1,1,RandomForestClassifier,4000,8,27.85437271744013,26.20524149760604
0,64,0,0,RandomForestClassifier,8000,8,52.654076476581395,49.878886042162776
0,64,0,1,RandomForestClassifier,8000,8,52.27051223721355,49.50303621124476
1,64,1,0,RandomForestClassifier,8000,8,52.770588451996446,50.000784585252404
1,64,1,1,RandomForestClassifier,8000,8,53.35151841584593,50.559946169145405
0,64,0,0,RandomForestClassifier,16000,8,102.04876206070185,96.85833656974137
0,64,0,1,RandomForestClassifier,16000,8,103.76856515556574,98.20962309464812
1,64,1,0,RandomForestClassifier,16000,8,103.16492875199765,98.04711403232068
1,64,1,1,RandomForestClassifier,16000,8,104.18233866151422,98.95792216155678
0,64,0,0,RandomForestClassifier,1000,16,7.381020306609571,6.354994661174715
0,64,0,1,RandomForestClassifier,1000,16,7.8585923640057445,6.674658334814012
1,64,1,0,RandomForestClassifier,1000,16,7.492760405875742,6.289950056001544
1,64,1,1,RandomForestClassifier,1000,16,7.907237261533737,6.710941858589649
0,64,0,0,RandomForestClassifier,2000,16,11.415718015283346,9.897608582861722
0,64,0,1,RandomForestClassifier,2000,16,11.797237262129784,10.022716468200088
1,64,1,0,RandomForestClassifier,2000,16,11.767772224731743,10.01343184709549
1,64,1,1,RandomForestClassifier,2000,16,11.54591108392924,9.735369490459561
0,64,0,0,RandomForestClassifier,4000,16,18.206568606197834,15.851051081903279
0,64,0,1,RandomForestClassifier,4000,16,18.60297926981002,16.183341978117824
1,64,1,0,RandomForestClassifier,4000,16,19.938091093674302,17.332519846968353
1,64,1,1,RandomForestClassifier,4000,16,19.041429919190705,16.531086404807866
