items,capacity,value,weight
25,5.689140056223916,13.25407189051458,5.58962772326351
50,12.869321660949671,22.497684456462277,12.847117570418703
100,24.72466953042722,37.66160741843099,24.708642853665765
200,48.71088138657448,82.37906362526672,48.702715210758704
400,99.65924917152425,155.4407875148173,99.63015870814068
