samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,0,2000,6,1,0,MLPClassifier,0.4830760882076376,0.4758279212894942,0.0032720068170848,0.4726175295937964,1.0
10,2,2,1,0,2000,6,1,1,MLPClassifier,0.0221334348042254,0.011081038287104,0.0061107413194203,4.773566818938591e-05,1.0
10,2,2,1,0,2000,7,1,0,MLPClassifier,0.0885496000788002,0.0702002658073864,0.0091021132908199,0.059522676735589,1.0
10,2,2,1,0,2000,7,1,1,MLPClassifier,0.0218611012417786,0.0110453165562133,0.0064878383551884,4.773566818938591e-05,1.0
10,2,2,1,0,2000,8,1,0,MLPClassifier,1.0777577651311705,1.0734705292310858,0.0021750847528623,1.0708493109131805,1.0
10,2,2,1,0,2000,8,1,1,MLPClassifier,0.0207137857339319,0.0102545195999454,0.0058012597529883,5.748716956621713e-05,1.0
10,2,2,1,0,2000,9,1,0,MLPClassifier,0.0578308602290159,0.040371821027533,0.0094764500604674,0.0272190512421866,1.0
10,2,2,1,0,2000,9,1,1,MLPClassifier,0.0218611321790396,0.0112239821841795,0.0061633113467416,6.026060210362338e-05,1.0
10,2,2,1,0,4000,0,1,0,MLPClassifier,0.6365883412855561,0.6311693143929561,0.0026230909696093,0.6271107191616045,1.0
10,2,2,1,0,4000,0,1,1,MLPClassifier,0.0182201782848635,0.0098204402084418,0.0051969541581062,5.748716956621713e-05,1.0
10,2,2,1,0,4000,1,0,0,MLPClassifier,0.0170831848881168,0.009062244121051,0.0048347280792866,4.773566818938591e-05,1.0
10,2,2,1,0,4000,1,0,1,MLPClassifier,2.310719411740436,2.303102060393495,0.0042491373819317,2.2907434610977138,1.0
10,2,2,1,0,4000,2,0,0,MLPClassifier,0.0172933016767858,0.0085191337443589,0.0047918293985968,4.773566818938591e-05,1.0
10,2,2,1,0,4000,2,0,1,MLPClassifier,1.1965319616073389,1.1889771945051846,0.0072383359671307,1.1731616096364048,1.0
10,2,2,1,0,4000,3,1,0,MLPClassifier,1.3073935674649535,1.3038110818537014,0.0016589736944337,1.2995821493615487,1.0
10,2,2,1,0,4000,3,1,1,MLPClassifier,0.0183927084484762,0.0093226514392079,0.0052423274491991,0.0001886955459589,1.0
10,2,2,1,0,4000,4,0,0,MLPClassifier,0.019315935599238,0.0102590630570593,0.0056879559974316,4.773566818938591e-05,1.0
10,2,2,1,0,4000,4,0,1,MLPClassifier,0.5071871868983974,0.4997920219714625,0.0031819982533428,0.496055881497707,1.0
10,2,2,1,0,4000,5,0,0,MLPClassifier,0.0171372749181584,0.0088139889054956,0.0050671770455534,8.825501074349873e-05,1.0
10,2,2,1,0,4000,5,0,1,MLPClassifier,1.9499920183350905,1.9417694917799857,0.0076286647572742,1.9274611027884767,1.0
10,2,2,1,0,4000,6,1,0,MLPClassifier,0.4842410902594433,0.4787435417390774,0.0026346477631981,0.474100178492463,1.0
10,2,2,1,0,4000,6,1,1,MLPClassifier,0.0193046015405949,0.0100696630056533,0.0055583133280966,5.748716956627265e-05,1.0
10,2,2,1,0,4000,7,1,0,MLPClassifier,0.0535450944735501,0.0374378600825533,0.0089490740812205,0.0231906238778575,1.0
10,2,2,1,0,4000,7,1,1,MLPClassifier,0.0218743105729971,0.0112855224172719,0.0060392439045557,4.331114098449218e-05,1.0
10,2,2,1,0,4000,8,1,0,MLPClassifier,1.0557372652709434,1.0525878406655094,0.0016603593079326,1.0486480547260928,1.0
