samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,0,1000,8,1,1,MLPClassifier,0.0222190105685257,0.0116453265446551,0.0063983276161553,0.0006698320893163,1.0
10,2,2,1,0,1000,9,1,0,MLPClassifier,0.0471307206771071,0.0432919176054787,0.0016547579798624,0.041406287201585,1.0
10,2,2,1,0,1000,9,1,1,MLPClassifier,0.0141108558362195,0.0073352336119028,0.0040546887412943,0.000238889750735,1.0
10,2,2,1,0,2000,0,1,0,MLPClassifier,0.6164639139517216,0.6148598472108415,0.0007257955270602,0.6140374558859557,1.0
10,2,2,1,0,2000,0,1,1,MLPClassifier,0.0125985164518158,0.0065033256618086,0.003307553787985,0.0005113852011555,1.0
10,2,2,1,0,2000,1,0,0,MLPClassifier,0.0200685755909498,0.0097194839703975,0.0057375202733315,2.5811523919894164e-05,1.0
10,2,2,1,0,2000,1,0,1,MLPClassifier,2.3128535446733243,2.307665510975472,0.0030921343650724,2.302652842911493,1.0
10,2,2,1,0,2000,2,0,0,MLPClassifier,0.014586410183135,0.0070926822077632,0.0043761995257879,0.000221330806674,1.0
10,2,2,1,0,2000,2,0,1,MLPClassifier,1.198118366031428,1.1895061168383811,0.0046283821173612,1.1814618507296644,1.0
10,2,2,1,0,2000,3,1,0,MLPClassifier,1.291976203058402,1.2908801573650754,0.0010114892615885,1.2892101240443723,1.0
10,2,2,1,0,2000,3,1,1,MLPClassifier,0.0191113420892035,0.0095789656415676,0.0056093313179044,1.1793313769103976e-05,1.0
10,2,2,1,0,2000,4,0,0,MLPClassifier,0.0134743202734383,0.0069688191785794,0.0036247911389379,0.0001458955073873,1.0
10,2,2,1,0,2000,4,0,1,MLPClassifier,0.5069577812805538,0.5049968748912186,0.0008436940458192,0.5041617223045384,1.0
10,2,2,1,0,2000,5,0,0,MLPClassifier,0.0320187069426661,0.0164456321278468,0.0087502053020014,1.2043111413992391e-05,1.0
10,2,2,1,0,2000,5,0,1,MLPClassifier,1.951202455073337,1.945453301331164,0.0033163881039211,1.938987981612091,1.0
10,2,2,1,0,2000,6,1,0,MLPClassifier,0.5007200563624373,0.4885421562168741,0.0062470920905189,0.4794625172931568,1.0
10,2,2,1,0,2000,6,1,1,MLPClassifier,0.0271285867204756,0.0142776718594323,0.0076784615465842,0.0003055119789188,1.0
10,2,2,1,0,2000,7,1,0,MLPClassifier,0.0839148086487003,0.0582916305242055,0.0132215307830236,0.0388356402087663,1.0
10,2,2,1,0,2000,7,1,1,MLPClassifier,0.0242379706666052,0.011841739711461,0.0071337518475848,7.576092007438584e-05,1.0
10,2,2,1,0,2000,8,1,0,MLPClassifier,1.0474339649052709,1.0453913873226155,0.0011048090942159,1.0433465413841256,1.0
10,2,2,1,0,2000,8,1,1,MLPClassifier,0.0198777604283848,0.0107611501967961,0.0057863605636207,0.0002188262482381,1.0
10,2,2,1,0,2000,9,0,0,MLPClassifier,0.0162860859991222,0.0085779346355541,0.0048418838393365,2.27076934013748e-05,1.0
10,2,2,1,0,2000,9,0,1,MLPClassifier,0.0164723606036275,0.0088760986372853,0.0040770815041057,0.0022955127816856,1.0
10,2,2,1,0,4000,0,1,0,MLPClassifier,0.6286992812318749,0.6264399729603717,0.0010855621546175,0.6250556031342508,1.0
10,2,2,1,0,4000,0,1,1,MLPClassifier,0.0149774781804932,0.0081944375253148,0.0041951137457169,4.826968247573227e-05,1.0
10,2,2,1,0,4000,1,0,0,MLPClassifier,0.0215155022358741,0.0109674894769352,0.0065357300848939,6.319805045007509e-06,1.0
10,2,2,1,0,4000,1,0,1,MLPClassifier,2.3108247363819143,2.305588821564007,0.0036676657897861,2.295517273257447,1.0
10,2,2,1,0,4000,2,0,0,MLPClassifier,0.0145918334341272,0.0075726535466255,0.0042446672933967,4.613848431400669e-05,1.0
10,2,2,1,0,4000,2,0,1,MLPClassifier,1.1995403552731672,1.1898196839629025,0.0054969086270221,1.1800452231274046,1.0
10,2,2,1,0,4000,3,1,0,MLPClassifier,1.3012251433154889,1.2992433212932253,0.0012676348825117,1.297310386008221,1.0
10,2,2,1,0,4000,3,1,1,MLPClassifier,0.0175263168908463,0.0087313924193942,0.0047924300349812,0.0001332295927931,1.0
10,2,2,1,0,4000,4,0,0,MLPClassifier,0.0134342170919725,0.0066719705080592,0.0037096623417987,2.1701902877646617e-05,1.0
10,2,2,1,0,4000,4,0,1,MLPClassifier,0.4995866276516553,0.4981592646607594,0.0007068305040857,0.4970823993373589,1.0
10,2,2,1,0,4000,5,0,0,MLPClassifier,0.0271671174113865,0.0135536173123166,0.0079792333783412,0.0001471416219925,1.0
10,2,2,1,0,4000,5,0,1,MLPClassifier,1.947495151242144,1.9371271988785677,0.0061048078866333,1.9268611072075643,1.0
10,2,2,1,0,4000,6,1,0,MLPClassifier,0.4968366660258087,0.4846525806071612,0.00637838511018,0.4751462793853406,1.0
10,2,2,1,0,4000,6,1,1,MLPClassifier,0.0245317129476777,0.0122742434242811,0.007090758231406,2.0889502020393635e-05,1.0
10,2,2,1,0,4000,7,1,0,MLPClassifier,0.0779177476590192,0.0512307421325792,0.0149202688407268,0.028134925766003,1.0
10,2,2,1,0,4000,7,1,1,MLPClassifier,0.0241673155522836,0.0122671573159466,0.0071492222733792,1.1581352713563309e-05,1.0
10,2,2,1,0,4000,8,1,0,MLPClassifier,1.0515798252366837,1.0501381411887518,0.0006704786694073,1.04937518850658,1.0
10,2,2,1,0,4000,8,1,1,MLPClassifier,0.0166728596480194,0.0085206604408501,0.0048453043160483,1.5832626676370865e-06,1.0
10,2,2,1,0,4000,9,1,0,MLPClassifier,0.0307411693798123,0.0190254315340308,0.0067885765898524,0.0095177964636657,1.0
10,2,2,1,0,4000,9,1,1,MLPClassifier,0.0125819335043138,0.0061200740597264,0.0035534369775102,6.72919187039156e-08,1.0
10,2,2,1,0,8000,0,1,0,MLPClassifier,0.6281252518816614,0.6260858255649809,0.0010794177536378,0.6243719185974893,1.0
10,2,2,1,0,8000,0,1,1,MLPClassifier,0.0131343031306367,0.0068565467501057,0.0037684293798454,1.8273822727010725e-05,1.0
10,2,2,1,0,8000,1,0,0,MLPClassifier,0.0206276465726116,0.0108366668869423,0.0057115630453453,7.746591101909228e-05,1.0
10,2,2,1,0,8000,1,0,1,MLPClassifier,2.3106840659709498,2.303600534682332,0.0040236715308839,2.297086334637761,1.0
10,2,2,1,0,8000,2,0,0,MLPClassifier,0.0139273736380495,0.0073573290065287,0.0039598721916337,4.710370910920858e-05,1.0
10,2,2,1,0,8000,2,0,1,MLPClassifier,1.1890646201521728,1.1837403872138414,0.0028767739755005,1.1789134150523706,1.0
10,2,2,1,0,8000,3,1,0,MLPClassifier,1.298959625985974,1.2970977077204422,0.0010969023093743,1.2951733429305414,1.0
10,2,2,1,0,8000,3,1,1,MLPClassifier,0.0171497843126462,0.008833182711466,0.0048005012268439,2.353196135929103e-05,1.0
10,2,2,1,0,8000,4,0,0,MLPClassifier,0.0122473476234103,0.0060824352240116,0.0035361789733133,3.0133114807817662e-06,1.0
10,2,2,1,0,8000,4,0,1,MLPClassifier,0.5041172699629057,0.5021844005307867,0.0009086118676343,0.5010896710702409,1.0
10,2,2,1,0,8000,5,0,0,MLPClassifier,0.0261204023949107,0.0133745817035812,0.0076976323930852,3.838497946749564e-05,1.0
10,2,2,1,0,8000,5,0,1,MLPClassifier,1.950543715681116,1.9388751635002308,0.0062213928647578,1.9285353408969883,1.0
10,2,2,1,0,8000,6,1,0,MLPClassifier,0.504870313212,0.4930207918209062,0.0063019638692443,0.482401463745564,1.0
10,2,2,1,0,8000,6,1,1,MLPClassifier,0.0239418385553775,0.0123855398449532,0.0068294572374227,5.3934891643625527e-05,1.0
10,2,2,1,0,8000,7,1,0,MLPClassifier,0.0574276909276552,0.0315671552684418,0.0147258761755425,0.0067067138750552,1.0
10,2,2,1,0,8000,7,1,1,MLPClassifier,0.0373473948960353,0.0185961321741326,0.0113842941312353,2.1448966848081064e-05,1.0
10,2,2,1,0,8000,8,1,0,MLPClassifier,1.0470487535936546,1.0448260589272416,0.0013716974290206,1.041715232299284,1.0
10,2,2,1,0,8000,8,1,1,MLPClassifier,0.0166274849259076,0.0089383431606867,0.0048781560867544,3.640829759277153e-05,1.0
10,2,2,1,0,8000,9,1,0,MLPClassifier,0.0303366403236547,0.0179596246213242,0.0066040288783204,0.0087062171529857,1.0
10,2,2,1,0,8000,9,1,1,MLPClassifier,0.0120166333688502,0.0059303340221379,0.0033822955977024,3.618753899778393e-05,1.0
10,2,2,1,0,16000,0,1,0,MLPClassifier,0.628245905108706,0.6271882365360238,0.0005348020015594,0.6259242429104643,1.0
10,2,2,1,0,16000,0,1,1,MLPClassifier,0.0114982149416543,0.0059121760839823,0.0032002474983656,1.6405516762740824e-05,1.0
10,2,2,1,0,16000,1,0,0,MLPClassifier,0.0205820286237031,0.0106171352199871,0.0059536290986645,2.770921538608473e-05,1.0
10,2,2,1,0,16000,1,0,1,MLPClassifier,2.305362445194831,2.2994920079163763,0.0033848064750846,2.293526781287784,1.0
10,2,2,1,0,16000,2,0,0,MLPClassifier,0.0131305211561896,0.0068899199762779,0.0037201195569731,2.094640314470597e-05,1.0
10,2,2,1,0,16000,2,0,1,MLPClassifier,1.186286424089216,1.1799697603870718,0.0033921528844905,1.1743496979693837,1.0
10,2,2,1,0,16000,3,1,0,MLPClassifier,1.302996964553474,1.3022707869992198,0.0003641344045225,1.3009600298661954,1.0
10,2,2,1,0,16000,3,1,1,MLPClassifier,0.0155794565408491,0.0082443959399517,0.0043559484443101,1.7264789866855423e-05,1.0
10,2,2,1,0,16000,4,0,0,MLPClassifier,0.0104147259383338,0.0055947475120206,0.0029370636796234,1.2329582122383442e-05,1.0
10,2,2,1,0,16000,4,0,1,MLPClassifier,0.4961571566736574,0.4943730565907465,0.0008212661032138,0.4933036403734134,1.0
10,2,2,1,0,16000,5,0,0,MLPClassifier,0.0262000503421196,0.0133673040973933,0.0074668953834291,1.099136181857696e-05,1.0
10,2,2,1,0,16000,5,0,1,MLPClassifier,1.9500734137752576,1.9405287264031927,0.0053744803862382,1.9316279566910224,1.0
10,2,2,1,0,16000,6,1,0,MLPClassifier,0.4926529029917794,0.481408775814205,0.0060490755552618,0.4728270606832745,1.0
10,2,2,1,0,16000,6,1,1,MLPClassifier,0.0206069871272547,0.0103713569648634,0.0061099694096339,1.1883377226351575e-05,1.0
10,2,2,1,0,16000,7,1,0,MLPClassifier,0.0836151642114523,0.0587012816112771,0.0140155705752626,0.0372375352036627,1.0
10,2,2,1,0,16000,7,1,1,MLPClassifier,0.0225339166796335,0.0119286430627971,0.0064585366904563,6.80230542717819e-05,1.0
10,2,2,1,0,16000,8,1,0,MLPClassifier,1.0558878403743075,1.05467955907953,0.0005376858980298,1.0539686907809027,1.0
10,2,2,1,0,16000,8,1,1,MLPClassifier,0.0137592810192924,0.0071516245947012,0.0039515987724055,1.5022745361470411e-05,1.0
