samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,0,8000,6,1,0,MLPClassifier,0.504870313212,0.4930207918209062,0.0063019638692443,0.482401463745564,1.0
10,2,2,1,0,8000,6,1,1,MLPClassifier,0.0239418385553775,0.0123855398449532,0.0068294572374227,5.3934891643625527e-05,1.0
10,2,2,1,0,8000,7,1,0,MLPClassifier,0.0574276909276552,0.0315671552684418,0.0147258761755425,0.0067067138750552,1.0
10,2,2,1,0,8000,7,1,1,MLPClassifier,0.0373473948960353,0.0185961321741326,0.0113842941312353,2.1448966848081064e-05,1.0
10,2,2,1,0,8000,8,1,0,MLPClassifier,1.0470487535936546,1.0448260589272416,0.0013716974290206,1.041715232299284,1.0
10,2,2,1,0,8000,8,1,1,MLPClassifier,0.0166274849259076,0.0089383431606867,0.0048781560867544,3.640829759277153e-05,1.0
10,2,2,1,0,8000,9,1,0,MLPClassifier,0.0303366403236547,0.0179596246213242,0.0066040288783204,0.0087062171529857,1.0
10,2,2,1,0,8000,9,1,1,MLPClassifier,0.0120166333688502,0.0059303340221379,0.0033822955977024,3.618753899778393e-05,1.0
10,2,2,1,0,16000,0,1,0,MLPClassifier,0.628245905108706,0.6271882365360238,0.0005348020015594,0.6259242429104643,1.0
10,2,2,1,0,16000,0,1,1,MLPClassifier,0.0114982149416543,0.0059121760839823,0.0032002474983656,1.6405516762740824e-05,1.0
10,2,2,1,0,16000,1,0,0,MLPClassifier,0.0205820286237031,0.0106171352199871,0.0059536290986645,2.770921538608473e-05,1.0
10,2,2,1,0,16000,1,0,1,MLPClassifier,2.305362445194831,2.2994920079163763,0.0033848064750846,2.293526781287784,1.0
10,2,2,1,0,16000,2,0,0,MLPClassifier,0.0131305211561896,0.0068899199762779,0.0037201195569731,2.094640314470597e-05,1.0
10,2,2,1,0,16000,2,0,1,MLPClassifier,1.186286424089216,1.1799697603870718,0.0033921528844905,1.1743496979693837,1.0
10,2,2,1,0,16000,3,1,0,MLPClassifier,1.302996964553474,1.3022707869992198,0.0003641344045225,1.3009600298661954,1.0
10,2,2,1,0,16000,3,1,1,MLPClassifier,0.0155794565408491,0.0082443959399517,0.0043559484443101,1.7264789866855423e-05,1.0
10,2,2,1,0,16000,4,0,0,MLPClassifier,0.0104147259383338,0.0055947475120206,0.0029370636796234,1.2329582122383442e-05,1.0
10,2,2,1,0,16000,4,0,1,MLPClassifier,0.4961571566736574,0.4943730565907465,0.0008212661032138,0.4933036403734134,1.0
10,2,2,1,0,16000,5,0,0,MLPClassifier,0.0262000503421196,0.0133673040973933,0.0074668953834291,1.099136181857696e-05,1.0
10,2,2,1,0,16000,5,0,1,MLPClassifier,1.9500734137752576,1.9405287264031932,0.0053744803862382,1.9316279566910224,1.0
10,2,2,1,0,16000,6,1,0,MLPClassifier,0.4926529029917794,0.481408775814205,0.0060490755552618,0.4728270606832745,1.0
10,2,2,1,0,16000,6,1,1,MLPClassifier,0.0206069871272547,0.0103713569648634,0.0061099694096339,1.1883377226351575e-05,1.0
10,2,2,1,0,16000,7,1,0,MLPClassifier,0.0836151642114523,0.0587012816112771,0.0140155705752626,0.0372375352036627,1.0
10,2,2,1,0,16000,7,1,1,MLPClassifier,0.0225339166796335,0.0119286430627971,0.0064585366904563,6.80230542717819e-05,1.0
10,2,2,1,0,16000,8,1,0,MLPClassifier,1.0558878403743075,1.05467955907953,0.0005376858980298,1.0539686907809027,1.0
10,2,2,1,0,16000,8,1,1,MLPClassifier,0.0137592810192924,0.0071516245947012,0.0039515987724055,1.5022745361470411e-05,1.0
10,2,2,1,0,16000,9,1,0,MLPClassifier,0.0291516932524412,0.0191175182464767,0.0052672897687419,0.0114757845965142,1.0
10,2,2,1,0,16000,9,1,1,MLPClassifier,0.0108685904415919,0.0056008284350007,0.002985890019762,1.3643108334043808e-05,1.0
10,2,2,1,1,2000,0,1,0,MLPClassifier,0.2265126546017879,0.2179125983440401,0.0037697249388583,0.2133196466245548,1.0
10,2,2,1,1,2000,0,1,1,MLPClassifier,0.0146031481120555,0.0071927400125328,0.0041849956627147,0.0001907042585127,1.0
10,2,2,1,1,2000,1,0,0,MLPClassifier,0.0452923964029365,0.0224236008336548,0.0125940473285926,0.0001678877549506,1.0
10,2,2,1,1,2000,1,0,1,MLPClassifier,2.951721101910322,2.927231252350542,0.0119782900966724,2.9086499576468503,1.0
10,2,2,1,1,2000,2,0,0,MLPClassifier,0.0200362595698277,0.0099280313472269,0.0056553526564654,0.0002780173065946,1.0
10,2,2,1,1,2000,2,0,1,MLPClassifier,0.6510746939598194,0.6391535476321042,0.0067279935060343,0.6268674109855371,1.0
10,2,2,1,1,2000,3,0,0,MLPClassifier,0.0302746137681486,0.0155203245332027,0.0085315865094659,8.931210042195659e-05,1.0
10,2,2,1,1,2000,3,0,1,MLPClassifier,2.001463321503778,1.9927767783606989,0.0050204760886736,1.9790075059123675,1.0
10,2,2,1,1,2000,4,1,0,MLPClassifier,0.1784558350361633,0.1706050908779177,0.0040438651139823,0.1651451348838275,1.0
10,2,2,1,1,2000,4,1,1,MLPClassifier,0.0155799713921063,0.0083462057590515,0.0042255225070026,0.0001672960837376,1.0
10,2,2,1,1,2000,5,1,0,MLPClassifier,0.3131839557920105,0.3047517907979914,0.0046292693976943,0.2985110006106979,1.0
10,2,2,1,1,2000,5,1,1,MLPClassifier,0.0182701741448034,0.0087631072287615,0.0050404979592218,0.0001958595965645,1.0
10,2,2,1,1,2000,6,1,0,MLPClassifier,0.2098400831449608,0.2007664090341664,0.0044033760174212,0.1950640878794475,1.0
10,2,2,1,1,2000,6,1,1,MLPClassifier,0.0165378568915467,0.0087860119380145,0.0050048976829071,8.314216488258808e-05,1.0
10,2,2,1,1,2000,7,1,0,MLPClassifier,0.1731361623434596,0.1650928356224905,0.0040342180762061,0.1591580588576675,1.0
10,2,2,1,1,2000,7,1,1,MLPClassifier,0.0191586508654975,0.0089542472757957,0.0055709077301529,5.728076945654692e-05,1.0
10,2,2,1,1,2000,8,1,0,MLPClassifier,0.2544150472190257,0.246647561870607,0.0042440087501432,0.2410074211292145,1.0
10,2,2,1,1,2000,8,1,1,MLPClassifier,0.0167261249822508,0.0078911922571745,0.0045410301561591,2.3435109823610745e-05,1.0
10,2,2,1,1,2000,9,0,0,MLPClassifier,0.088851680884701,0.0443022437739483,0.0257459862868245,0.0009434283362619,1.0
10,2,2,1,1,2000,9,0,1,MLPClassifier,2.9457514113149608,2.930303806130424,0.0072405964470449,2.9182319670986803,1.0
10,2,2,1,1,8000,0,1,0,MLPClassifier,0.2322901950272214,0.2241280902881014,0.0039762258635003,0.2191273716907784,1.0
10,2,2,1,1,8000,0,1,1,MLPClassifier,0.0152549965546493,0.0077944846136548,0.0044138400103219,0.0001068802616723,1.0
10,2,2,1,1,8000,1,0,0,MLPClassifier,0.0501379427010987,0.0263336714749858,0.0147289312128251,0.0002393743000821,1.0
10,2,2,1,1,8000,1,0,1,MLPClassifier,2.8672791416709504,2.8459899410268745,0.0107135296562014,2.830657319704807,1.0
10,2,2,1,1,8000,2,0,0,MLPClassifier,0.0150872272043165,0.0076411237755932,0.0044186406702324,3.424625563730466e-05,1.0
10,2,2,1,1,8000,2,0,1,MLPClassifier,0.6065136131997284,0.5905808327136345,0.0078378583022444,0.5785061510316098,1.0
10,2,2,1,1,8000,3,0,0,MLPClassifier,0.0271023367029236,0.0141767159019285,0.0076761706929541,5.692903116472081e-06,1.0
10,2,2,1,1,8000,3,0,1,MLPClassifier,1.971978114421108,1.9653627571307104,0.003757097569029,1.9590090273002636,1.0
10,2,2,1,1,8000,4,1,0,MLPClassifier,0.1835039184347595,0.1760476512509102,0.0038650885360812,0.1709530997597497,1.0
10,2,2,1,1,8000,4,1,1,MLPClassifier,0.0149351455355796,0.0080847487170321,0.0042589021002946,0.000127786944245,1.0
10,2,2,1,1,8000,5,1,0,MLPClassifier,0.3157905883962357,0.3055055142264748,0.0054844587860411,0.2976533602569187,1.0
10,2,2,1,1,8000,5,1,1,MLPClassifier,0.0171397838836762,0.0086120017348753,0.0048790133438765,4.208528250670973e-05,1.0
10,2,2,1,1,8000,6,1,0,MLPClassifier,0.2095881369851205,0.2020317202172402,0.0039089900450589,0.1969666947882388,1.0
10,2,2,1,1,8000,6,1,1,MLPClassifier,0.0150909745137191,0.0076128915757638,0.0042651960497152,0.0001011921504652,1.0
10,2,2,1,1,8000,7,1,0,MLPClassifier,0.1796859362268523,0.1711367235263022,0.0045718182114975,0.164953304160994,1.0
10,2,2,1,1,8000,7,1,1,MLPClassifier,0.0152648570071177,0.0079940603716242,0.0042474223179973,1.5527125428294042e-05,1.0
10,2,2,1,1,8000,8,1,0,MLPClassifier,0.2550303356968725,0.2473321422071479,0.0038895392118489,0.2421239345909294,1.0
10,2,2,1,1,8000,8,1,1,MLPClassifier,0.0159012632125616,0.008381078409508,0.0045831899842869,5.527099339319719e-06,1.0
10,2,2,1,1,8000,9,0,0,MLPClassifier,0.0755371891668827,0.0379863905620717,0.0224716718858813,2.7067904878830266e-05,1.0
10,2,2,1,1,8000,9,0,1,MLPClassifier,2.885851246394971,2.874197954374436,0.0069055031074272,2.861450326071061,1.0
10,2,2,1,1,16000,0,1,0,MLPClassifier,0.2540632139302861,0.2468368391853506,0.0037162471139995,0.2418269489379485,1.0
10,2,2,1,1,16000,0,1,1,MLPClassifier,0.0139692071457283,0.0072653989387426,0.0041041970160455,1.903049240770116e-05,1.0
10,2,2,1,1,16000,1,0,0,MLPClassifier,0.048013322430126,0.024828002412688,0.0138487808147926,2.011808050772501e-05,1.0
10,2,2,1,1,16000,1,0,1,MLPClassifier,2.8604654513604224,2.82590875082461,0.0207456565624262,2.790351142858418,1.0
10,2,2,1,1,16000,2,0,0,MLPClassifier,0.0163227034087432,0.0082863563520433,0.0045603451153953,4.307768146083468e-05,1.0
10,2,2,1,1,16000,2,0,1,MLPClassifier,0.6184218467114484,0.6066664292324789,0.00659374273554,0.5949664421193395,1.0
