classifier,population_size,workers,time,time_std
RandomForestClassifier,1000,1,20.71400358841056,0.185683051862807
RandomForestClassifier,1000,2,10.756239065004047,0.06604678172909696
RandomForestClassifier,1000,4,5.603002616402227,0.044589693923777894
RandomForestClassifier,1000,8,3.3468723964993843,0.10348652639516004
RandomForestClassifier,1000,16,2.0592329724109733,0.09408979956469175
RandomForestClassifier,1000,32,1.7548731658956966,0.09367506934402224
RandomForestClassifier,2000,1,41.722864688036495,0.22278207753508575
RandomForestClassifier,2000,2,21.401293397590052,0.10558926242654389
RandomForestClassifier,2000,4,10.943406196497381,0.06201357940005944
RandomForestClassifier,2000,8,5.987516850198153,0.08294419186721125
RandomForestClassifier,2000,16,3.6374636594788172,0.13259974089370968
RandomForestClassifier,2000,32,2.270270184392575,0.17641505874331956
RandomForestClassifier,4000,1,83.38637247810838,0.47037433389458216
RandomForestClassifier,4000,2,42.588677559199276,0.23538837867593615
RandomForestClassifier,4000,4,21.76500889119925,0.10620691684831686
RandomForestClassifier,4000,8,11.399881895375438,0.06680157237717613
RandomForestClassifier,4000,16,6.560936183214653,0.1373409696683099
RandomForestClassifier,4000,32,3.9445600996725263,0.24205900650009474
RandomForestClassifier,8000,1,168.59399058930575,1.1722339895407818
RandomForestClassifier,8000,2,84.67996760362294,0.4279767824855934
RandomForestClassifier,8000,4,42.88582153164316,0.2539937913338579
RandomForestClassifier,8000,8,22.538844359701034,0.14050573717374212
RandomForestClassifier,8000,16,12.125592010107358,0.12029469237399501
RandomForestClassifier,8000,32,7.289410670392681,0.1617898435041468
RandomForestClassifier,16000,1,351.2396782857948,3.4671840556126643
RandomForestClassifier,16000,2,170.98323298130418,1.592601796234028
RandomForestClassifier,16000,4,86.00290805627591,0.8207562477784119
RandomForestClassifier,16000,8,44.459887931402776,0.20569444776344892
RandomForestClassifier,16000,16,24.263038244179917,0.11770039833278903
RandomForestClassifier,16000,32,14.51700638938928,0.17850700003686706
SVC,1000,1,0.7824223236180842,0.010169542849066912
SVC,1000,2,0.5433895166148431,0.02330792479165793
SVC,1000,4,0.3371264220448211,0.022824384215211043
SVC,1000,8,0.28926160448463634,0.054787299068884465
SVC,1000,16,0.3013590294984169,0.060767654940136105
SVC,1000,32,0.41019011781318115,0.046121742516105985
SVC,2000,1,1.5789457774721085,0.016197563108063157
SVC,2000,2,1.1054103196132927,0.04844260423746027
SVC,2000,4,0.683020016993396,0.026881152802379977
SVC,2000,8,0.49699849932221696,0.062583615356272
SVC,2000,16,0.5348511054180562,0.06560703220171171
SVC,2000,32,0.6197498091845773,0.06119382057115703
SVC,4000,1,3.11266724729212,0.014225749162131021
SVC,4000,2,2.0698417736100962,0.020156598350886856
SVC,4000,4,1.372961512976326,0.035169428916310884
SVC,4000,8,0.9631905735004693,0.07076268754445611
SVC,4000,16,0.8629214625107124,0.08844914902955209
SVC,4000,32,1.0250513126025909,0.10340217958917652
SVC,8000,1,6.297320785629563,0.024918852076133056
SVC,8000,2,4.176910114695784,0.03957770656178127
SVC,8000,4,2.6608822802198118,0.04514942416104508
SVC,8000,8,2.452835900010541,0.1368403734511888
SVC,8000,16,1.7188802045071498,0.10748003191551318
SVC,8000,32,1.7200202915701084,0.07119300179458334
SVC,16000,1,12.691301345999818,0.03127242005393136
SVC,16000,2,8.812461252696812,0.5096794017113555
SVC,16000,4,5.827000586793292,0.22902091906819338
SVC,16000,8,4.7792900263797495,0.25956970658919243
SVC,16000,16,4.010803371586372,0.19169284394038758
SVC,16000,32,3.3858536484069193,0.222621847366022
MLPClassifier,1000,1,0.665819291700609,0.01428477830038523
MLPClassifier,1000,2,0.5248198992921971,0.040206052453083015
MLPClassifier,1000,4,0.38116143009392545,0.03323853726409041
MLPClassifier,1000,8,0.4521067606750876,0.0344661947627763
MLPClassifier,1000,16,0.5797488603042439,0.04775681523645308
MLPClassifier,1000,32,0.7222449240856804,0.05486276610187454
MLPClassifier,2000,1,1.327216332196258,0.01812936897708917
MLPClassifier,2000,2,1.0082758201053366,0.04483136447780548
MLPClassifier,2000,4,0.670405703491997,0.0424805187672286
MLPClassifier,2000,8,0.7178731002146378,0.04712164432982829
MLPClassifier,2000,16,0.8795611150795594,0.057009531916474954
MLPClassifier,2000,32,1.0017526444862597,0.05470878608479702
MLPClassifier,4000,1,2.6629827021970414,0.012486286449577737
MLPClassifier,4000,2,1.9373238879139536,0.033254828427405736
MLPClassifier,4000,4,1.3312106877216139,0.05727488810341137
MLPClassifier,4000,8,1.2283263661782258,0.02757834047761326
MLPClassifier,4000,16,1.2815805924707093,0.0701453202391612
MLPClassifier,4000,32,1.560951773088891,0.0792981318527553
MLPClassifier,8000,1,5.314116434194148,0.10254713321564367
MLPClassifier,8000,2,3.6865782214910725,0.03750573305391468
MLPClassifier,8000,4,2.419042910495773,0.027106889938960335
MLPClassifier,8000,8,2.3060046365018936,0.06180666921455518
MLPClassifier,8000,16,2.082796590705402,0.1071668376369458
MLPClassifier,8000,32,2.3243251023930496,0.08521767044465922
MLPClassifier,16000,1,10.686740385356824,0.08054499324383846
MLPClassifier,16000,2,7.321839269704651,0.04274009915103101
MLPClassifier,16000,4,4.708074186381419,0.03415498317158359
MLPClassifier,16000,8,4.33738753531361,0.10219960990717526
MLPClassifier,16000,16,4.113735686684959,0.23625347463754226
MLPClassifier,16000,32,4.405906257312745,0.24656526462738396
