samples,numpy_MSE,deap_MSE,ppga_MSE
50,462526.4912456054,462526.49124560534,462526.4912456053
100,308005.60009081877,308005.60009081865,308005.60009081865
200,348331.2769181532,348331.27691815316,348331.27691815316
400,448409.77716775716,448409.777167757,448409.7771677571
800,386782.9681134371,386782.96811343706,386782.96811343706
