classifier,population_size,workers,time,time_std,ptime,ptime_std
SVC,1000,1,1.053082134341821,0.059346313407121445,0.762640583422035,0.029768069414557844
SVC,2000,1,2.446858803136274,0.028554032722670167,1.4955584578681738,0.016744437090666156
SVC,4000,1,6.4651018409524115,0.04343268018569819,2.9546545815654097,0.019714930506291153
SVC,8000,1,19.43613415225409,0.18593315306801864,5.98133476623334,0.038142803974537634
SVC,16000,1,68.2959054486826,9.134823939986324,12.173176562273875,0.5065366745873155
SVC,1000,2,1.0182288743089885,0.03845601241547011,0.7423875702079386,0.03631558320058957
SVC,2000,2,2.7578860403038563,0.3750955821311796,1.6659783059265465,0.20732330858690126
SVC,4000,2,6.9438254838809375,0.5058117326853926,3.2127477124333383,0.21403629043934086
SVC,8000,2,18.751734958495945,0.3638142459248965,5.557388710603118,0.24620521062772224
SVC,16000,2,64.921712048864,4.64408848076459,12.103866804484278,0.8130501981681771
SVC,1000,4,0.9663985503371805,0.07598372981821756,0.6598609756678343,0.05754666867604324
SVC,2000,4,2.2094242468476297,0.1155970773606178,1.2493968984112143,0.10529577433911039
SVC,4000,4,5.552558156475425,0.07996864826887269,2.056304739136249,0.06926320636762637
SVC,8000,4,17.823911490803585,0.561755032538741,4.40872408254072,0.38036205886294516
SVC,16000,4,60.98849348910153,0.8133251560212127,8.925665559340269,0.45964213543031845
SVC,1000,8,0.7660934695042669,0.03540759160374751,0.4770750568713993,0.0407520846197627
SVC,2000,8,1.8125573807861657,0.06914258413823739,0.834630845207721,0.06289851361734457
SVC,4000,8,5.059464250830933,0.09566896665098709,1.5601720568258315,0.03937953834555919
SVC,8000,8,16.986040408816187,0.6457726037134328,3.4324023521039635,0.30133687159089584
SVC,16000,8,58.892286299075934,1.0266087546357072,6.987406526971609,0.6364604159900451
SVC,1000,16,0.7988751253113151,0.04061752630657214,0.5018128610216082,0.025760906496561514
SVC,2000,16,1.839225377747789,0.0812190401916953,0.8791868560016155,0.054138809376843254
SVC,4000,16,5.00708098965697,0.10264491797862614,1.4583698651753365,0.0861196016942837
SVC,8000,16,16.424829465011136,0.48416645029947786,3.011519628437236,0.3843254970108577
SVC,16000,16,58.15299250665121,0.8381647637387974,6.1416678505484015,0.5818706931508806
SVC,1000,32,0.7481843090150505,0.03985251297215444,0.46010740925557914,0.022474111813828246
SVC,2000,32,1.865615376085043,0.22695795007418132,0.8222578971181065,0.061605801256912285
SVC,4000,32,5.118810979975388,0.17186040278054193,1.625583250494674,0.15585846909985207
SVC,8000,32,16.164736955380068,0.25978832420105963,2.8854116531554608,0.24029711917182572
SVC,16000,32,57.52390144825913,0.6190625588068207,5.3961398505605755,0.5402970921563918
