samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,32,2,1,1,2000,0,1,0,SVC,-7.637291656467662,-7.409800431089294,0.1601060388020081,-6.961429560852561,1.0
10,32,2,1,1,2000,0,1,1,SVC,-7.582290064258876,-3.9044759454086027,2.2501855950455893,-0.05821935814604973,1.0
10,32,2,1,1,2000,1,0,0,SVC,-5.154007651117274,-2.596032014539972,1.4103468221673872,-0.015198257163763662,1.0
10,32,2,1,1,2000,1,0,1,SVC,-6.724837170986313,-6.634054097224199,0.060567224276010564,-6.468559178612012,1.0
10,32,2,1,1,2000,2,0,0,SVC,-5.504717073254146,-2.8320630488018215,1.5119756663652129,-0.011054972576769906,1.0
10,32,2,1,1,2000,2,0,1,SVC,-7.536025317854647,-7.1632951812198895,0.21625419514571012,-6.603370967065903,1.0
10,32,2,1,1,2000,3,0,0,SVC,-5.629515892132337,-2.841935028084017,1.6309680811957117,-0.008644138768465481,1.0
10,32,2,1,1,2000,3,0,1,SVC,-7.153548727196279,-6.653711546490984,0.28122747632309386,-5.953944777532245,1.0
10,32,2,1,1,2000,4,1,0,SVC,-9.269190126340689,-8.705629691378482,0.38970006767429893,-7.9489518584744845,1.0
10,32,2,1,1,2000,4,1,1,SVC,-7.392372946389858,-4.044417639202222,2.1139119533104056,-0.01608369532538001,1.0
10,32,2,1,1,2000,5,0,0,SVC,-4.685576678497722,-2.410963991588145,1.3434673732181766,-0.0001864383455395524,1.0
10,32,2,1,1,2000,5,0,1,SVC,-10.329069576544212,-7.760785383344089,1.6785972496088724,-4.280544905423918,1.0
10,32,2,1,1,2000,6,1,0,SVC,-8.94644279450296,-8.712421035263661,0.17514267023480853,-8.195653414430781,1.0
10,32,2,1,1,2000,6,1,1,SVC,-6.969995187070812,-3.577350771716583,2.0501866442789107,-0.016889474864739684,1.0
10,32,2,1,1,2000,7,0,0,SVC,-7.503345358984213,-3.7393335831310974,2.157408887520685,-0.026590402340873176,1.0
10,32,2,1,1,2000,7,0,1,SVC,-7.75898262898797,-6.396220800127755,0.8298712982028614,-4.757153902215433,1.0
10,32,2,1,1,2000,8,1,0,SVC,-11.927962408906879,-10.003867778158503,1.2999822983030163,-6.993169024137985,1.0
10,32,2,1,1,2000,8,1,1,SVC,-6.8813118213002795,-3.602543772902867,1.9257815247737176,-0.01790667313836658,1.0
10,32,2,1,1,2000,9,1,0,SVC,-10.189191673730704,-6.840798327554698,2.1545722624632466,-1.9623376746071421,1.0
10,32,2,1,1,2000,9,1,1,SVC,-6.303090661391842,-3.1922549858532214,1.8091508900369475,-0.02324483057673321,1.0
10,4,2,1,1,2000,0,0,0,SVC,-0.43021928510796176,-0.21495805328254808,0.11945932796917404,-0.00232553255701351,1.0
10,4,2,1,1,2000,0,0,1,SVC,-1.5827280979369516,-1.496496125716003,0.050996063707621095,-1.388831511506752,1.0
10,4,2,1,1,2000,1,0,0,SVC,-0.6885880521126108,-0.33385844819529326,0.19117971145856757,-0.0005986421670203801,1.0
10,4,2,1,1,2000,1,0,1,SVC,-1.4243109996589298,-1.1174780193601157,0.21796843719066533,-0.6505201019373847,1.0
10,4,2,1,1,2000,2,1,0,SVC,-1.3379218607857566,-0.9661138184268486,0.24730330693104988,-0.5066107763946733,1.0
10,4,2,1,1,2000,2,1,1,SVC,-0.9739755262109212,-0.5030289603050637,0.27503781061007343,-0.0013315771014763556,1.0
10,4,2,1,1,2000,3,1,0,SVC,-0.9127016142425561,-0.5640252971400628,0.22062731385503562,-0.10739486686906663,1.0
10,4,2,1,1,2000,3,1,1,SVC,-0.9324034190283146,-0.43752333193182735,0.26427682017561477,-4.472104815582412e-05,1.0
10,4,2,1,1,2000,4,0,0,SVC,-0.5106468450803251,-0.2718451032504164,0.14008743771728785,-0.0005955577368832454,1.0
10,4,2,1,1,2000,4,0,1,SVC,-1.592975118144396,-1.5264441257583257,0.042232163890134115,-1.4360640954319435,1.0
10,4,2,1,1,2000,5,1,0,SVC,-1.7961632407439998,-1.702596966546306,0.05415726248574087,-1.5856438778989281,1.0
10,4,2,1,1,2000,5,1,1,SVC,-0.6590872158714284,-0.3447119125006452,0.1851898941792292,-0.006002355545616123,1.0
10,4,2,1,1,2000,6,0,0,SVC,-0.977428114465337,-0.4884386066275021,0.2856657541471911,-0.001586791732530457,1.0
