classifier,population_size,workers,time,time_std,ptime,ptime_std
MLPClassifier,1000,1,0.6618477420415729,0.0166173414063812,0.6043984268791973,0.0079534070359917
MLPClassifier,1000,2,0.6034528789576143,0.0474172334629232,0.497440018504858,0.0446278165509606
MLPClassifier,1000,4,0.4831486996728927,0.0438655077809477,0.3741306361276656,0.036839850061835
MLPClassifier,1000,8,0.5729601089842618,0.0430367438432037,0.4684173059649765,0.0320271764083472
MLPClassifier,1000,16,0.6648205858189613,0.0410706518391119,0.5504355814307929,0.0353420065255862
MLPClassifier,1000,32,0.8893430308904499,0.0777383589361462,0.781867249077186,0.0661526161947324
MLPClassifier,2000,1,1.3175581816583872,0.0173898216962589,1.204391279350966,0.0163255546282168
MLPClassifier,2000,2,1.136671533249319,0.0616516761747303,0.9437199387233705,0.0668682278448885
MLPClassifier,2000,4,0.9515186635311692,0.0471320850614058,0.7443486804608256,0.0566081690600631
MLPClassifier,2000,8,0.9414273709990084,0.0314105885554763,0.7674902360886335,0.011276831435266
MLPClassifier,2000,16,1.071693512890488,0.0383942411487006,0.8700646317563951,0.0366857844990566
MLPClassifier,2000,32,1.2744118824135513,0.0864207438570716,1.066596167627722,0.0719287255194175
MLPClassifier,4000,1,2.6388917210977523,0.014618167241199,2.4088190989103166,0.0169787502050752
MLPClassifier,4000,2,2.1665290164761246,0.0789464671868964,1.8641940684989096,0.0982403822368633
MLPClassifier,4000,4,1.7341632907744498,0.0410463517781629,1.456157275941223,0.0553216223748187
MLPClassifier,4000,8,1.7368597346823662,0.0652312451551678,1.4390001215972006,0.06716780261736
MLPClassifier,4000,16,1.753598375199363,0.0657953428385878,1.450097117945552,0.0581408480502455
MLPClassifier,4000,32,1.9281954717822372,0.0893470252472717,1.6259003870654851,0.0749573134279621
MLPClassifier,8000,1,5.299049727013335,0.0774484090341152,4.831106645567343,0.0765295729849956
MLPClassifier,8000,2,4.302213500952348,0.1772716570859192,3.660081008821726,0.1352096993060666
MLPClassifier,8000,4,3.2888384731020777,0.0392033180826811,2.711704778904095,0.0752449581443405
MLPClassifier,8000,8,3.169395920075476,0.0525527232312254,2.585381050314754,0.0402594762188021
MLPClassifier,8000,16,3.225425456045196,0.1131847551935927,2.625952005572617,0.0844202536527161
MLPClassifier,8000,32,3.2508596108295023,0.1439214783621903,2.7120035061612726,0.1672698908894681
MLPClassifier,16000,1,10.562343615759165,0.0663491016409592,9.624382351338864,0.0663156481774167
MLPClassifier,16000,2,8.368802588572725,0.1853959103536259,7.279804582241923,0.1475726498644646
MLPClassifier,16000,4,6.530354133527726,0.0464773866632678,5.405313880415633,0.0508693925162346
MLPClassifier,16000,8,6.041824726061895,0.0618822124865303,4.973713878821582,0.0789189535958678
MLPClassifier,16000,16,6.048211018322036,0.1066230489598382,4.925146038457752,0.1091401228257122
MLPClassifier,16000,32,6.083457583654672,0.1219508328000901,4.914584528841078,0.1114433793846771
RandomForestClassifier,1000,1,21.38492273222655,0.1261942998276034,21.324306297488512,0.129152575825691
RandomForestClassifier,1000,2,10.947795315925031,0.1263954792153638,10.839879657002166,0.1096589828956305
RandomForestClassifier,1000,4,5.781940471986308,0.0783886712366291,5.654985364014283,0.0544346193421446
RandomForestClassifier,1000,8,3.560724863782525,0.106728268393598,3.4505070615559816,0.0955742543191565
RandomForestClassifier,1000,16,2.4618681923486294,0.0610869643647348,2.3493221669923514,0.0482599284148668
RandomForestClassifier,1000,32,2.1694122021086515,0.1424321657385696,2.070762670598924,0.1268934729948625
RandomForestClassifier,2000,1,42.64142598044127,0.3589372460419549,42.53205497907474,0.359335645628088
RandomForestClassifier,2000,2,21.84669030504301,0.1451376355843089,21.667504775105044,0.1526366955401212
RandomForestClassifier,2000,4,11.249816640093922,0.0933200632703707,11.062537022167817,0.0965734042673196
RandomForestClassifier,2000,8,6.345736247580499,0.0758424492072983,6.120218893280253,0.07521319034967
RandomForestClassifier,2000,16,4.108663133019581,0.0881475777767996,3.907556589879096,0.0811879152455375
RandomForestClassifier,2000,32,2.831764715071768,0.1441377502016286,2.6665669659618287,0.1411485741046261
RandomForestClassifier,4000,1,85.38072767509148,0.8596890790455661,85.11626665312797,0.8721353694362953
RandomForestClassifier,4000,2,43.53009579237551,0.2793825127820512,43.22292646546848,0.2748865270885928
RandomForestClassifier,4000,4,22.194556624535476,0.110569796526564,21.89157375115901,0.1142183903250277
RandomForestClassifier,4000,8,11.971662422828375,0.0917129671950314,11.67315365895629,0.0822640228827961
RandomForestClassifier,4000,16,7.162499926472083,0.1174928479384898,6.828564148955048,0.1248216219544831
RandomForestClassifier,4000,32,4.81765373442322,0.1664911155199939,4.485941190412268,0.1968433482370939
RandomForestClassifier,8000,1,172.35633309986443,2.6297553869077217,171.80444240439684,2.6345441596111465
RandomForestClassifier,8000,2,87.19255348946899,1.2115314387717075,86.6268365571741,1.2287869608307953
RandomForestClassifier,8000,4,44.1739803315606,0.2802760447060071,43.62566102775745,0.2916363520130461
RandomForestClassifier,8000,8,23.258110208949077,0.0767587662582473,22.63863288061693,0.1036553959009928
RandomForestClassifier,8000,16,13.22818644111976,0.1045318247458112,12.588825338194146,0.110894958064042
RandomForestClassifier,8000,32,8.349636856932193,0.1696497533311097,7.792996010510251,0.150496066610361
RandomForestClassifier,16000,1,340.26163019584493,1.8207392570958032,339.10831827628425,1.822163873360284
RandomForestClassifier,16000,2,173.57418435211292,0.8840473108130076,172.4994336085394,0.860050189195119
RandomForestClassifier,16000,4,88.08136916970834,0.6265174275159697,86.91790776010603,0.6619441786309466
