classifier,population_size,workers,time,time_std
MLPClassifier,1000,1,0.5766112670069561,0.0258055404270536
MLPClassifier,1000,2,0.4763939141063019,0.0525102655318082
MLPClassifier,1000,4,0.3500377141637728,0.0224268794985041
MLPClassifier,1000,8,0.4031901854090393,0.0299537759631635
MLPClassifier,1000,16,0.6475818949053064,0.0407700113455547
MLPClassifier,1000,32,1.1195645284024067,0.0461482120874388
MLPClassifier,2000,1,1.1442220440949311,0.0281608453656539
MLPClassifier,2000,2,0.8682506929035299,0.0472540132364026
MLPClassifier,2000,4,0.5660074941813946,0.0375195720609999
MLPClassifier,2000,8,0.5655662454082631,0.0342974662425707
MLPClassifier,2000,16,0.7236452945857309,0.0504030541461951
MLPClassifier,2000,32,1.2286918655969203,0.0598769973484508
MLPClassifier,4000,1,2.296312641236,0.036407982611486
MLPClassifier,4000,2,1.5503133616875855,0.03372218224817
MLPClassifier,4000,4,0.9906172923743723,0.0370496560843322
MLPClassifier,4000,8,0.8313304349314421,0.054930163538319
MLPClassifier,4000,16,0.9125825358671136,0.04424821175979
MLPClassifier,4000,32,1.3661720525822605,0.0563485073107915
MLPClassifier,8000,1,4.559629724314436,0.0566311663213935
MLPClassifier,8000,2,2.9443870295886883,0.0323788098477826
MLPClassifier,8000,4,1.845439830084797,0.0217976805871875
MLPClassifier,8000,8,1.503001381608192,0.0628784556173033
MLPClassifier,8000,16,1.412761146086268,0.0679105916689612
MLPClassifier,8000,32,1.686435499310028,0.0660319669275058
MLPClassifier,16000,1,9.230042706010863,0.0605810421289864
MLPClassifier,16000,2,5.873115168896038,0.0690802348551999
MLPClassifier,16000,4,3.63183428948978,0.0278502039734064
MLPClassifier,16000,8,2.844124637916684,0.2075611612632397
MLPClassifier,16000,16,2.5626425806898623,0.1162546923753669
MLPClassifier,16000,32,2.586350419081282,0.2333721694905348
RandomForestClassifier,1000,1,16.235809335601516,0.1398950363969591
RandomForestClassifier,1000,2,8.446166813210585,0.0537806722375119
RandomForestClassifier,1000,4,4.404420232889242,0.0449239688644729
RandomForestClassifier,1000,8,2.536528752709273,0.0749733498548986
RandomForestClassifier,1000,16,1.8699657594086605,0.0986012970547071
RandomForestClassifier,1000,32,1.8121776936226524,0.0336698144424217
RandomForestClassifier,2000,1,32.30485093269963,0.2038572528417407
RandomForestClassifier,2000,2,16.83096020659432,0.1069478054634511
RandomForestClassifier,2000,4,8.684541313000954,0.0759003709332954
RandomForestClassifier,2000,8,4.792730765393936,0.0860232565329511
RandomForestClassifier,2000,16,3.069699123268947,0.1536980972406732
RandomForestClassifier,2000,32,2.778418005106505,0.1692384148218518
RandomForestClassifier,4000,1,64.36429208191112,0.419783793714939
RandomForestClassifier,4000,2,33.49382567168213,0.2969047920589481
RandomForestClassifier,4000,4,17.110388288099784,0.1081890513190734
RandomForestClassifier,4000,8,9.036307979072443,0.0775227831420091
RandomForestClassifier,4000,16,5.336962507211138,0.1723025623524811
RandomForestClassifier,4000,32,4.615506115881726,0.1644789463004598
RandomForestClassifier,8000,1,129.4126681091846,0.5163466208749686
RandomForestClassifier,8000,2,66.0700779773877,0.5815447746440124
RandomForestClassifier,8000,4,33.50775295990752,0.253405482815079
RandomForestClassifier,8000,8,17.50635469139088,0.144280491918851
RandomForestClassifier,8000,16,9.699557270982767,0.0994499819142192
RandomForestClassifier,8000,32,8.031763066188432,0.2092429233132644
RandomForestClassifier,16000,1,267.20109811511355,5.531631748358974
RandomForestClassifier,16000,2,133.14935959121212,1.2812722750653642
RandomForestClassifier,16000,4,67.52200758769177,0.3346289876137206
RandomForestClassifier,16000,8,35.06800757710589,0.3899248316873541
RandomForestClassifier,16000,16,18.555274136096703,0.116663369351934
RandomForestClassifier,16000,32,13.666302461992018,0.4296109195514404
SVC,1000,1,0.6604801433975809,0.0164915658531071
SVC,1000,2,0.502266515721567,0.0344537376155055
SVC,1000,4,0.3541929572937078,0.017499879752266
SVC,1000,8,0.3767118097282946,0.0318035837701608
SVC,1000,16,0.4889402688015252,0.0468067790366325
SVC,1000,32,0.8473163606016897,0.0297710107050099
SVC,2000,1,1.32288845742587,0.0206794162598816
SVC,2000,2,0.9524684246163816,0.0308296909752052
SVC,2000,4,0.620602197991684,0.0170159744907973
SVC,2000,8,0.4897402938921004,0.0381931496012434
SVC,2000,16,0.6114607952069491,0.0446075256319082
SVC,2000,32,0.9378990221885032,0.0461000800187439
SVC,4000,1,2.666433070693165,0.0354413380871196
SVC,4000,2,1.7623541456880047,0.0740001196282575
SVC,4000,4,1.0834035872598178,0.0434178191454278
SVC,4000,8,0.840362244588323,0.0385677913275989
SVC,4000,16,0.8690677908947692,0.0274257375733716
SVC,4000,32,1.0939930544118397,0.0454214765112757
SVC,8000,1,5.379583391803317,0.0428555538084173
SVC,8000,2,3.3656520709046163,0.0364931749834611
SVC,8000,4,2.0390072959824463,0.0376619815851094
SVC,8000,8,1.5964988233870827,0.0717950795281094
SVC,8000,16,1.456568615103606,0.0607200691161359
SVC,8000,32,1.6049756641034036,0.065171418663249
SVC,16000,1,10.681929597293491,0.1274178369267765
SVC,16000,2,6.654411524895113,0.0452864058373625
SVC,16000,4,4.162029005307704,0.1243214340863964
SVC,16000,8,3.035249210393522,0.1210556880862906
SVC,16000,16,2.493562391202431,0.1167473670991218
SVC,16000,32,2.480133519007359,0.0961232152291965
